Progress,Duration (in seconds),Consent,Gender1,Race1,Race1_6_TEXT,Citizen,USborn,Residency_1,Residency_2,ConservativeIdeo,LiberalIdeo,GenPartyAffiliation,GenPartyAffiliation_4_TEXT,threatTime_First Click,threatTime_Last Click,threatTime_Page Submit,threatTime_Click Count,assuagedThreatTime_First Click,assuagedThreatTime_Last Click,assuagedThreatTime_Page Submit,assuagedThreatTime_Click Count,purposeAllCond,groupGrowth,whitePopChange,groupPower,reasonDemoShift,Readability,Informativity,systemThreat,USheaded,certain,statusThreatPercept,changecult,racetied,policy-timing_First Click,policy-timing_Last Click,policy-timing_Page Submit,policy-timing_Click Count,ImmigrantCitizenship,ImmigrationNumber,MilitaryFund,AffirmativeAction,Healthcare,EnglishNationalLang,Prisons,GenPolSpectrum,Age,Education,Income,primeRepeat,Guess,Comments,Condition
100,469,1,2,3,,1,1,1,3,1,2,1,,,,,,26.644,101.794,107.013,6,To discuss the rapid increase in population among minority groups who may soon outnumber white non Hispanics ,4,3,2,More births among non white americans,1,1,1,4,5,5,17,13,6.169,115.437,116.384,26,3,4,2,3,1,3,2,3,42,4,5,2,How different political opinions feel about minority groups,,Assuaged Threat
100,530,1,2,3,,1,1,1,39,1,1,1,,,,,,6.365,6.965,162.302,2,to inform people about the racial makeup of America in the future,4,5,1,white boomers are growing older and white americans are not having as many kids compared to deaths; immigration and increased births among racial minorities,2,1,2,1,2,5,17,14,12.02,80.535,81.828,10,1,4,1,3,1,2,1,2,22,5,6,2,to evaluate feelings/perceptions of the future of america based on racial makeup,,Assuaged Threat
100,514,1,2,3,,1,1,1,36,2,2,1,,12.868,68.528,72.563,6,,,,,To illustrate how white Americans are becoming a minority two the combined other races in America and how the trend is accepting over what was previously thought ,4,4,2,The high birth rates of the minority races compared to whites as well as immigration ,1,1,1,3,5,5,17,14,10.631,89.871,90.994,23,2,4,5,4,1,5,2,2,69,4,3,2,Not really except for maybe how we feel about white minority ,,Status Threat
100,724,1,2,3,,1,1,1,28,1,2,3,,,,,,8.355,79.531,101.941,10,To discuss how white races have become the minority ,2,4,2,White baby boomers are past child bearing age,1,1,2,3,3,6,16,17,10.258,199.434,200.297,24,2,5,1,2,1,5,2,2,32,2,3,2,That those who are more liberal will think whites not being a majority is a good thing,,Assuaged Threat
100,484,1,1,3,,1,1,1,16,1,1,1,,3.763,117.91,126.361,12,,,,,Information about changing American racial demographics.,4,3,2,Increased birth rates among Hispanic families.,1,1,1,4,3,6,18,13,6.202,82.013,82.789,38,3,5,2,1,1,1,1,1,32,7,5,2,Seeing how respondents political views shapes their reactions to the article and changing demographics ,,Status Threat
100,912,1,2,3,,1,1,1,11,6,5,2,,,,,,0,0,247.232,0,"To explain that white people are becoming the minority, but will still likely remain more powerful than other ethnic groups.",4,4,1,More immigration and those immigrants are having more babies.,6,6,3,2,5,5,19,17,15.702,124.926,143.757,10,2,2,4,7,1,4,2,6,22,5,3,2,Racial majorities are more opposed to illegal immigrant rights.,,Assuaged Threat
100,891,1,1,3,,1,1,1,14,4,2,3,,0,0,129.324,0,,,,,to show that white americans may soon be the minority,4,3,2,higher birth to death rates in minorities vs whites being 1 to 1,1,1,2,3,3,4,16,15,35.558,193.238,195.57,11,3,3,2,6,1,4,1,3,31,2,1,2,no idea,<3,Status Threat
100,381,1,2,3,,1,1,1,47,1,3,1,,0.552,67.318,74.415,11,,,,,To share the us is becoming more racially diverse quicker than though,4,4,2,Hispanic and Latino folks having less deaths and more kids ,1,2,1,3,3,4,17,13,6.315,88.927,90.945,29,3,3,1,4,1,3,1,3,27,6,5,2,How people feel about racial relationships in the us,,Status Threat
100,660,1,1,3,,1,1,1,6,6,7,2,,0,0,99.368,0,,,,,To Show that white Americans are starting to be a minority.,4,5,2,More immigrants are entering America and having children.,2,5,5,2,2,5,18,14,25.785,135.514,136.351,11,3,2,3,7,7,6,5,6,63,3,3,1,To show how the country is changing.,O ,Status Threat
100,421,1,2,3,,1,1,1,8,1,2,3,,,,,,4.032,84.018,94.945,42,to inform the reader that minority populations will become the majority over whites...but power structure will remain in white people's hands ,4,4,1,birth rates among minorities are significant,2,1,2,3,4,4,18,14,1.574,72.315,72.802,50,2,4,2,4,1,4,3,2,52,5,5,2,the changing demographics  of America,,Assuaged Threat
100,734,1,2,3,,1,1,1,10,1,1,1,,5.284,5.284,123.957,1,,,,,Non hispanic whites will become a minority sooner than expected,4,5,2,Hispanics are having more children,1,1,2,1,5,5,19,18,14.433,130.287,131.7,13,3,1,3,6,1,7,7,2,58,4,5,1,shifting ethnicities  of the US population,,Status Threat
100,719,1,2,3,,1,1,1,51,7,7,4,Minarchy,,,,,9.102,212.53,239.422,19,To inform that racial minorities of today will become the majority in the future,4,5,1,Birth rate,1,1,6,1,1,4,18,14,26.206,129.62,130.303,31,5,1,3,7,7,7,4,7,31,4,4,2,Political opinion,,Assuaged Threat
100,532,1,2,3,,1,1,1,25,2,6,1,,58.289,140.441,141.5,30,,,,,Educate others about how white Americans are going to become minority by the year 2024,4,5,2,Immigration and the Hispanic population having babies quicker than white people ,1,1,2,4,5,6,18,16,1.618,58.149,59.186,32,3,3,3,4,2,4,4,4,42,5,4,2,How pet process certain types of information ,,Status Threat
100,828,1,2,3,,1,1,1,36,1,1,1,,,,,,15.361,52.005,298.768,4,To address the changing demographics in the US. ,4,3,1,Higher birth rates among the hispanic population.,2,2,1,2,2,4,18,15,28.029,128.318,129.794,8,3,3,2,3,1,2,1,2,61,3,3,2,I don't know.,,Assuaged Threat
100,1528,1,2,3,,1,1,1,19,3,3,1,,,,,,0,0,259.051,0,immigration,4,3,1,immigration and them having a ton of kids and baby boomers no longer fertile,2,2,4,2,3,2,17,17,15.976,196.127,197.367,11,3,2,3,7,1,5,2,3,63,3,5,2,something about the future of the USA and Society,,Assuaged Threat
100,714,1,2,3,,1,1,1,31,3,3,1,,26.203,127.528,132.206,4,,,,,To show statics of minorities out numbering whites in the next generation or so.,4,5,2,White baby boomers are pass child bearing years and young hispanics are having more children.,1,1,5,1,1,4,17,17,12.777,101.063,102.297,18,3,3,4,2,1,7,7,4,66,2,1,1,What people think about minorities being higher in numbers than white people.,"No one race is superior nor should be, white people have a tendency to believe they are.",Status Threat
100,1076,1,2,3,,1,1,1,48,6,3,2,,1.676,85.396,87.933,22,,,,,Increasing rate of minority races creating a rapid decline in white population.,4,5,2,Rapid immigration,2,1,6,1,1,4,19,15,0.978,252.531,254.476,52,3,3,3,7,4,5,4,5,31,5,4,2,How do different political leanings influence opinions about minority races becoming majority over white races.,,Status Threat
100,767,1,2,3,,1,1,1,47,1,1,1,,33.216,153.694,155.566,26,,,,,Presents evidence that racial minorities in the US will soon out number the current white majority,4,3,2,Hispanic families having children at a much higher rate than white families. ,1,2,2,1,2,3,17,17,12.302,133.48,134.669,28,3,4,1,3,1,4,1,1,45,4,2,2,The rate in which racial minorities in the US will outnumber the current racial majority is happening faster than previously predicted. ,,Status Threat
100,428,1,2,3,,1,1,1,39,2,3,3,,8.37,76.06,78.198,13,,,,,Give minority information ,4,3,2,Many Hispanics having a lot of kids,3,2,3,2,2,5,16,15,6.186,99.675,100.838,30,3,4,2,5,3,5,2,2,25,2,3,2,How others think of other races,,Status Threat
100,1051,1,2,3,,1,1,1,38,2,2,1,,14.26,40.292,104.49,3,,,,,Analysis and prediction of racial mix in the US; decreasing percentage of white non-Hispanic Americans,4,4,2,"Smaller birth rate in white vs minority groups, particularly Hispanics",2,2,2,3,3,5,17,14,6.746,109.817,111.037,14,3,4,2,4,2,5,2,2,46,7,9,2,If viewing certain information changes reaction to social policies,"I hadn’t seen this particular article, but I did read an analysis of the census data that had similar conclusions about the increase in minority groups, although some of that was tied to a difference in analyzing the data of people who identify as more than one racial group",Status Threat
100,641,1,2,3,,1,1,1,31,1,2,1,,,,,,23.117,114.165,130.537,10,To educate about future population demographics ,4,5,1,People of Hispanic descent having a death to living kin ratio or 9:1 compared to 1:1 for whites,2,2,1,2,2,5,19,17,14.121,159.33,160.59,36,2,3,1,1,2,4,4,2,27,6,8,2,Minorities would out populate whites in the US ,,Assuaged Threat
100,602,1,1,3,,1,1,1,10,4,4,3,,0,0,433.916,0,,,,,Educate the american population,2,5,2,Immigration,1,1,2,3,3,5,17,14,3.58,42.057,42.756,10,1,3,4,6,6,7,5,4,22,5,6,2,Will white americans become a minority soon,,Status Threat
100,624,1,2,3,,1,1,1,8,1,2,1,,13.779,74.666,170.957,5,,,,,To show minority growth,4,4,2,White Americans are not having children while Hispanic Americans are still having multiple children,1,1,2,3,4,4,17,14,19.399,119.786,121.186,10,2,3,2,2,2,4,3,2,32,5,2,2,Maybe to see if your political views align with what you answered,,Status Threat
100,539,1,2,3,,1,1,1,39,1,1,1,,,,,,0,0,82.391,0,discussion of minority groups related to size of non hispanic white group,4,3,1,baby boomers are not having children and minorites are having children and immigration,3,2,1,3,5,2,14,14,23.429,101.532,102.612,10,3,3,3,6,1,4,4,2,69,6,9,2,if people feel threaten by changing demographics,,Assuaged Threat
100,490,1,2,3,,1,1,1,8,2,3,1,,67.544,92.846,101.62,14,,,,,To explain the earlier transition to a minority-white country,4,5,2,higher birth rates among hispanics,1,2,2,4,6,4,15,16,6.589,120.138,121.1,12,3,3,2,4,2,5,2,3,39,5,9,2,how closely people's identities are linked to their racial group,,Status Threat
100,840,1,1,3,,1,1,1,6,4,5,2,,,,,,2.431,121.142,124.771,9,The purpose of the press release was to inform people that minority groups may make up the majority of the U.S. population within 20 or so years.,4,3,2,Immigration,1,2,4,2,3,4,17,15,4.57,284.316,285.081,14,3,2,3,7,1,7,4,6,32,2,3,2,I feel like this study is about gauging people's bias towards certain issues when presented with information.,N/A,Assuaged Threat
100,1935,1,2,3,,1,1,1,43,6,6,2,,4.661,779.693,830.941,8,,,,,To educate on current and predicted future demographics in the US,4,4,2,"white baby boomers dying, while young hispanics are reproducing more right now",1,1,3,2,3,5,17,15,10.442,354.988,355.981,19,3,3,3,5,4,5,3,6,29,5,4,2,"In the near future, the majority demographic of the US population will shift from whites to a minority population.",N/A,Status Threat
100,961,1,1,3,,2,1,1,10,6,7,2,,17.932,239.377,240.135,16,,,,,White peolple are becoming the minority ,4,5,2,Immigrants ,1,1,7,1,1,7,19,18,50.913,252.512,253.157,27,5,5,5,7,2,7,5,6,37,2,3,2,Whites are becoming the minority ,,Status Threat
100,1482,1,1,3,,1,1,1,26,1,3,3,,,,,,72.962,251.732,272.26,7,"To explain the decreasing percentage of white Americans, as compared to other",4,3,1,"Hispanic and Latino people are having more children than white Americans, which leads to a population shift. ",1,1,1,5,5,2,14,13,19.743,304.262,305.085,19,2,3,4,4,1,7,5,4,61,4,2,2,To get my opinion on population and ethnic cultures. ,No thanks ,Assuaged Threat
100,1283,1,1,3,,1,1,1,23,1,7,3,,,,,,2.415,103.456,104.301,43,I think the purpose of this press release was to present statistical information about how whites in the United States have steadily been decreasing in comparison to the amount of other races that live in the United States and to present information showing how this trend is predicted to continue into the future. ,4,3,1,One of the main reasons outlined in the press release for the expected demographic shift was the amount of babies that hispanics are having in comparison to the amount of babies that white people are having in the United States in modern times.,1,2,1,1,1,4,19,13,1.359,71.749,72.091,56,1,5,1,4,4,4,1,4,26,2,6,2,"If the amount of racial groups other then white people in the United States continue to have babies at a higher rate compared to whites, then white people will become the minority ethnic group in the United States over time",I did not experience any technical difficulties while taking this survey,Assuaged Threat
100,263,1,1,3,,1,1,1,34,6,7,2,,,,,,39.049,48.879,67.694,4,to indicate that white people will soon become a racial minority.,4,4,1,Low birth rates for white Americans and rapid immigration.,2,2,5,1,2,6,18,16,3.408,56.718,58.235,16,4,2,3,7,3,7,6,5,32,2,3,2,My thoughts on race related issues.,Thank you.,Assuaged Threat
100,927,1,2,3,,1,1,1,43,1,1,1,,,,,,87.213,212.372,252.462,2,The purpose of the press release was to inform readers that whites will soon be a minority in the US.,4,4,1,One of the main reasons is that Hispanics give birth to 9 babies per 1 death. White babies are born 1 birth to 1 death.,5,2,1,4,4,4,17,18,28.358,162.276,164.21,15,2,2,4,2,1,4,1,2,69,3,2,2,I think it was about how certain respondents feel about whites becoming the minority in the US.,We are all members of the human race.,Assuaged Threat
100,1158,1,2,3,,1,1,1,36,3,3,1,,,,,,4.546,48.816,108.267,13,To inform statistics on white vs non white population in the United States ,4,5,2,The rate of birth given ,2,3,4,2,1,5,18,15,0.978,374.803,375.534,51,3,2,3,6,2,6,1,3,34,2,5,2,I would guess how views on popular issues differ from rep. Vs Dem.,,Assuaged Threat
100,1426,1,2,3,,1,1,1,49,1,1,3,,7.209,384.848,387.987,5,,,,,"To show that the most recent Census data (from 2020) indicates that the US will become a ""minority-majority"" country much sooner than expected.",4,5,2,Hispanic families are having far more children than white American families.,1,1,1,4,5,5,17,17,10.224,131.563,133.164,14,3,4,2,3,1,1,1,1,63,3,3,2,"At the beginning of the study I was told that it was about different ways people process information (reading, listening, watching, etc.). There may be another hypothesis, and if so, it might be how I view demographic trends, eg. if I think they're positive or negative for the country.",,Status Threat
100,667,1,1,3,,1,1,1,6,1,1,3,,7.191,7.766,45.479,2,,,,,To inform the public that the white community will be majority minority sooner than expected,4,4,2,Increased immigration from Latin countries ,1,1,1,3,5,4,14,14,1.217,123.637,124.731,42,3,4,2,3,1,6,2,2,49,4,5,2,White people will be majority-minority by 2040,,Status Threat
100,651,1,2,3,,1,1,1,34,2,2,1,,4.635,157.28,160.519,15,,,,,To imform readers that the demographic make up of the US population is rapidly changing in terms increasing minorities.,4,4,1,"Baby boomers are aging, hence not giving birth.",1,1,1,2,4,3,17,16,12.479,75.416,76.233,27,3,3,4,4,1,4,1,1,67,5,8,2,Finding correlations between political affiliations and beliefs about society's racial make up.,,Status Threat
100,2198,1,2,3,,1,1,1,23,2,1,1,,,,,,1.862,83.272,100.258,33,Talk about popuation change.,4,4,1,Baby boomer aging and dying off.,1,2,3,3,6,2,18,16,9.401,93.351,93.922,42,3,3,3,4,1,5,1,2,63,5,2,2,People have various opinions.,,Assuaged Threat
